volumeto,high,low,time,volumefrom,close,open
269878225.69,4422.15,4296.93,1507248000,61692.93,4371.94,4321.44
176332039.12,4472.92,4319.48,1507334400,40202.08,4435.81,4371.94
323063950.84,4622.87,4419.36,1507420800,71366.95,4611.7,4435.81
518586828.49,4875.38,4556.15,1507507200,110191.77,4777.49,4611.7
475717720.64,4930.0,4722.81,1507593600,98485.0,4763.36,4777.49
338533507.33,4874.89,4718.6,1507680000,70482.75,4824.2,4763.36
848641969.34,5432.63,4814.98,1507766400,163916.09,5432.62,4824.2
1211469140.96,5852.78,5391.97,1507852800,215018.92,5637.26,5432.62
434406119.95,5839.62,5568.86,1507939200,76224.35,5824.71,5637.26
571166215.25,5862.69,5448.22,1508025600,101636.95,5688.14,5824.71
349154669.33,5795.33,5576.1,1508112000,61358.95,5759.33,5677.35
368658284.35,5773.32,5521.09,1508198400,65637.43,5598.58,5759.25
654722509.03,5601.3,5114.87,1508284800,122020.31,5575.83,5598.58
469774559.06,5737.41,5517.62,1508371200,83056.09,5698.65,5576.71
729487923.01,6075.32,5611.39,1508457600,123860.51,5993.11,5698.62
684989667.22,6187.2,5874.54,1508544000,112943.89,6006.65,5993.11
618893096.8,6070.56,5722.98,1508630400,105030.93,5982.86,6006.65
801148315.46,6048.98,5644.22,1508716800,137140.4,5903.61,5982.86
811951129.66,5904.63,5463.41,1508803200,143735.81,5513.08,5903.61
585738379.88,5747.96,5375.64,1508889600,105839.48,5734.0,5513.08
547664553.57,5970.4,5689.92,1508976000,93675.55,5887.61,5734.0
488283724.04,5997.83,5692.32,1509062400,83933.5,5764.56,5887.62
305611140.99,5871.04,5654.8,1509148800,53232.17,5726.61,5764.56
966990808.93,6295.43,5679.37,1509235200,163055.75,6147.52,5726.61
481600502.95,6226.18,6018.97,1509321600,78624.31,6124.28,6147.7
637838767.02,6467.2,6090.83,1509408000,101249.62,6451.24,6124.28
869798619.79,6738.74,6355.0,1509494400,133191.93,6737.78,6449.1
1663170039.86,7339.91,6737.77,1509580800,238796.19,7024.81,6737.78
1120978013.29,7445.62,6938.93,1509667200,154886.75,7152.12,7024.81
773371754.85,7492.24,6957.84,1509753600,106602.67,7363.8,7146.98
789287755.18,7599.44,7284.33,1509840000,105727.2,7389.55,7363.8
1148125488.89,7429.7,6934.73,1509926400,159688.48,6959.23,7389.55
716798409.14,7222.37,6957.8,1510012800,101044.57,7102.75,6959.27
1632547465.88,7869.1,7026.97,1510099200,220224.38,7444.36,7102.23
915963933.06,7457.12,7040.83,1510185600,126769.9,7129.59,7444.36
1513421266.51,7318.97,6406.05,1510272000,222001.18,6565.8,7129.59
878096915.35,6821.5,6197.87,1510358400,135719.07,6339.86,6565.8
1629165385.9,6490.53,5493.64,1510444800,269832.87,5878.13,6339.87
1135256036.03,6760.15,5828.34,1510531200,178340.89,6522.45,5878.09
634604991.54,6728.59,6419.18,1510617600,96502.09,6597.06,6522.45
922959468.47,7330.06,6596.94,1510704000,131120.23,7283.22,6597.06
1010130763.21,7964.64,7119.17,1510790400,133937.8,7853.68,7283.02
917599923.24,8000.19,7534.7,1510876800,117347.03,7699.95,7853.68
571121111.0,7857.52,7458.9,1510963200,74382.12,7780.91,7699.95
541391321.61,8100.87,7675.41,1511049600,68618.85,8042.64,7781.02
617354329.03,8294.12,7947.28,1511136000,75703.64,8244.69,8042.64
938345413.24,8368.36,7819.06,1511222400,115454.28,8099.97,8245.87
539697375.37,8304.37,8091.63,1511308800,65811.68,8234.55,8099.92
555465146.26,8266.55,8012.35,1511395200,68010.7,8013.41,8234.5
595710405.8,8332.94,7900.17,1511481600,72994.63,8200.8,8013.38
718483679.6,8761.98,8153.7,1511568000,84670.41,8754.69,8203.45
782499976.71,9474.62,8746.56,1511654400,85891.98,9318.42,8754.62
1025175619.87,9733.61,9316.84,1511740800,106902.79,9733.2,9318.42
865328615.73,9969.58,9638.2,1511827200,87754.89,9906.04,9732.63
2418792360.6,11417.84,8938.7,1511913600,233325.32,9837.86,9906.04
1836210107.31,10689.06,9023.77,1512000000,187008.87,9946.76,9848.05
1353669597.43,10942.8,9420.93,1512086400,131918.85,10861.47,9947.08
950474241.58,11175.23,10715.55,1512172800,86825.51,10912.73,10861.47
1380012064.12,11851.09,10578.43,1512259200,122125.7,11246.21,10912.72
1057859226.18,11624.63,10917.81,1512345600,93173.9,11623.91,11244.2
1048839303.8,11901.87,11486.13,1512432000,89687.21,11667.13,11624.37
2437037791.81,13843.2,11661.76,1512518400,191576.66,13749.57,11667.13
4510225316.19,16879.26,13401.61,1512604800,297108.66,16850.31,13750.09
4546014731.58,17294.85,13906.1,1512691200,286762.02,16047.61,16867.98
2699876215.33,16313.18,13151.47,1512777600,181979.81,14843.42,16048.18
2904037859.64,15783.2,13031.0,1512864000,201620.09,15059.6,14839.98
2634267594.52,17399.18,15024.56,1512950400,159724.56,16732.47,15060.45
2246138895.89,17560.65,16254.53,1513036800,132846.57,17083.9,16733.29
2576055941.69,17267.96,15669.86,1513123200,155407.35,16286.82,17083.9
1773813863.46,16941.08,16023.64,1513209600,107918.03,16467.91,16286.82
2682351213.91,17987.03,16442.2,1513296000,153651.15,17604.85,16467.91
2078806368.79,19587.7,17318.54,1513382400,112173.97,19345.49,17594.08
2264650369.71,19870.62,18750.91,1513468800,117408.38,19065.71,19346.6
2597510049.89,19221.1,18114.42,1513555200,139251.39,18972.32,19065.71
3136709262.09,19021.97,16812.8,1513641600,174543.37,17523.7,18971.19
3791752510.78,17813.6,15642.69,1513728000,227676.13,16461.97,17521.73
2619295475.76,17301.83,14952.98,1513814400,163735.02,15632.12,16461.09
6245731508.4,15823.72,10875.71,1513900800,466980.6,13664.97,15632.12
2491903154.48,15493.23,13356.07,1513987200,170169.39,14396.46,13664.97
2428437693.16,14413.72,12166.45,1514073600,182417.29,13789.95,14396.63
1487888106.52,14467.43,13010.71,1514160000,107475.98,13833.49,13789.95
2198577125.17,16094.67,13748.49,1514246400,143135.26,15756.56,13830.19
2162831128.76,16514.59,14534.66,1514332800,138705.28,15416.64,15757.02
2425912717.56,15505.51,13466.07,1514419200,170366.63,14398.7,15416.34
1733583750.2,15109.81,13951.08,1514505600,118874.63,14392.57,14398.45
2387311023.42,14461.46,11962.09,1514592000,182065.44,12531.52,14392.14
1492142483.58,14241.82,12359.43,1514678400,111270.55,13850.4,12532.38
1057521524.42,13921.53,12877.67,1514764800,78425.21,13444.88,13850.49
1956783037.35,15306.13,12934.16,1514851200,137732.17,14754.13,13444.88
1604206990.04,15435.01,14579.71,1514937600,106543.39,15156.62,14754.09
1656714736.62,15408.66,14244.67,1515024000,110968.82,15180.08,15156.49
2283988962.92,17126.95,14832.36,1515110400,141960.42,16954.78,15180.08
1412703790.73,17252.85,16286.57,1515196800,83927.99,17172.3,16954.76
1309532650.11,17184.81,15791.13,1515283200,79006.37,16228.16,17174.5
2166366561.33,16302.92,13902.31,1515369600,142453.96,14976.17,16228.26
1486802326.34,15390.28,14221.55,1515456000,99730.65,14468.5,14976.17
2025083791.13,14919.49,13450.54,1515542400,142303.9,14919.49,14468.09
2373494121.74,14979.96,12825.95,1515628800,173452.27,13308.06,14920.36
1402292716.89,14129.08,12851.91,1515715200,102068.02,13841.19,13308.06
1021352776.21,14595.04,13830.28,1515801600,71300.93,14243.12,13841.19
1112590573.36,14415.67,13031.91,1515888000,81536.0,13638.63,14244.12
1170462750.59,14355.82,13416.71,1515974400,84089.84,13631.98,13638.63
3842651741.45,13648.84,10032.69,1516060800,325702.79,11282.49,13634.6
3666978316.26,11736.3,9205.38,1516147200,348631.94,11162.7,11282.49
2357251805.09,12018.43,10642.33,1516233600,204918.02,11175.52,11162.7
1264875700.45,11780.49,10867.18,1516320000,110885.87,11521.76,11175.52
1492721765.44,13031.04,11502.11,1516406400,119084.84,12783.94,11521.82
1552755289.93,12787.35,11101.73,1516492800,130427.64,11549.93,12783.54
1811992345.95,11913.74,10067.76,1516579200,165723.08,10814.52,11549.98
1710180828.64,11388.52,9980.5,1516665600,158868.59,10858.23,10814.52
1286435482.05,11531.6,10506.55,1516752000,115804.82,11429.02,10853.78
1061064251.44,11741.92,10930.34,1516838400,93317.76,11175.87,11428.11
1560135332.27,11656.54,10346.86,1516924800,142350.84,11104.2,11175.87
1031091633.68,11638.69,10879.2,1517011200,90873.81,11459.71,11104.34
1038153169.8,12064.19,11407.94,1517097600,87917.22,11767.74,11460.39
920836244.04,11860.29,11089.52,1517184000,80713.7,11233.95,11767.74
1720894077.2,11263.7,9871.21,1517270400,164072.93,10107.26,11234.32
1230902973.11,10377.96,9698.13,1517356800,122260.49,10226.86,10107.4
1964308989.29,10280.84,8726.95,1517443200,208918.8,9114.72,10226.86
2768759876.15,9147.93,7786.2,1517529600,322596.22,8870.82,9114.73
1253484523.4,9504.37,8194.68,1517616000,139226.07,9251.27,8872.87
1413207410.82,9400.99,7889.83,1517702400,164609.06,8218.05,9251.27
2534149181.03,8391.29,6627.31,1517788800,341828.54,6937.08,8218.05
3397596513.74,7932.38,5968.36,1517875200,495883.24,7701.25,6936.43
2159765331.36,8572.68,7208.86,1517961600,271450.37,7592.72,7701.25
1594673973.51,8643.94,7590.48,1518048000,193040.33,8260.69,7593.78
1348072086.15,8743.2,7775.36,1518134400,162279.68,8696.83,8259.26
1348923336.33,9081.49,8176.25,1518220800,155616.78,8569.29,8696.83
1013771945.88,8573.35,7862.31,1518307200,123293.84,8084.61,8569.32
1085921871.17,8997.34,8084.41,1518393600,124923.98,8911.27,8084.61
853320352.71,8955.15,8379.35,1518480000,98632.88,8544.69,8911.17
1220863360.18,9508.22,8542.98,1518566400,133702.54,9485.64,8544.69
1666668487.88,10223.58,9363.38,1518652800,168776.78,10033.75,9485.64
1061827697.26,10303.14,9720.38,1518739200,105556.67,10188.73,10033.75
1327921168.02,11119.45,10074.07,1518825600,123660.48,11097.21,10188.73
1659704217.34,11288.34,10161.01,1518912000,154431.22,10417.23,11097.21
1186535653.61,11265.96,10336.32,1518998400,108244.29,11182.28,10418.12
1640343867.77,11802.23,11130.95,1519084800,142449.23,11256.43,11182.28
